tracking_id	gene_id	gene_short_name	0_10_FPKM	0_12_FPKM	0_FPKM	10_25_FPKM	12_FPKM	21_25_FPKM	25_FPKM	3_FPKM	6_FPKM
YIR044C	YIR044C	YIR044C	13.2412	16.8235	30.642	24.988	4.73756	7.45141	25.3861	13.6298	28.8081
YJL001W	YJL001W	PRE3	265.781	253.454	356.817	262.87	303.074	240.494	317.965	364.197	321.792
YJL002C	YJL002C	OST1	282.219	282.233	276.235	267.629	264.5	274.144	265.869	283.933	268.841
YJL003W	YJL003W	COX16	53.5161	57.6032	81.6897	52.8448	55.1046	68.6361	53.6867	66.1038	51.988
YJL004C	YJL004C	SYS1	70.8727	64.4254	76.5953	63.6679	65.5103	64.4724	66.6286	77.8482	70.1898
YJL005W	YJL005W	CYR1	6.10775	8.54693	11.2718	7.65342	9.28818	8.8971	8.70049	9.8549	9.07705
YJL006C	YJL006C	CTK2	42.0703	36.3953	45.5623	37.1908	38.9445	43.7074	42.9537	42.3568	38.2638
YJL007C	YJL007C	YJL007C	5.89471	2.75123	1.59443	2.64861	0.903884	1.42166	1.07632	2.08035	2.19853
YJL008C	YJL008C	CCT8	248.583	243.878	245.339	257.075	244.841	234.061	248.131	260.608	261.521
YJL009W	YJL009W	YJL009W	80.1046	65.5113	73.9971	104.814	86.7772	77.7823	76.0203	79.7337	85.0693
YJL010C	YJL010C	NOP9	100.939	99.5271	81.684	121.302	103.434	109.295	98.4855	92.7141	101.869
YJL011C	YJL011C	RPC17	144.909	136.216	144.832	149.685	131.345	146.307	118.71	137.333	145.134
YJL012C	YJL012C	VTC4	141.002	157.376	98.2153	156.89	139.187	164.92	137.936	128.308	137.473
YJL013C	YJL013C	MAD3	32.7888	31.0219	35.5523	29.7976	31.339	28.2179	30.2269	32.8578	29.7106
YJL014W	YJL014W	CCT3	301.822	312.088	274.569	327.186	282.257	303.029	285.567	294.434	293.925
YJL015C	YJL015C	YJL015C	61.1832	73.8339	52.8775	77.8106	53.2475	65.1387	52.8381	47.6595	46.7692
YJL016W	YJL016W	YJL016W	23.3176	29.1167	21.0467	31.4373	25.513	29.8009	25.0214	19.9584	23.2393
